category,name,fr,en,es
Fish & Chips,TILAPIA,"Filet de tilapia en pâte légère et croustillante, servi avec frites et sauce tartare maison","Tilapia fillet in light crispy batter, served with fries and homemade tartar sauce","Filete de tilapia en masa ligera y crujiente, servido con papas fritas y salsa tártara casera"
Fish & Chips,DORÉ,"Filet de doré en pâte croustillante, servi avec frites et sauce maison","Walleye fillet in crispy batter, served with fries and house sauce","Filete de doré en masa crujiente, servido con papas fritas y salsa de la casa"
Fish & Chips,MERLU,"Filet de merlu doré en pâte légère, servi avec frites et sauce maison","Hake fillet in light batter, served with fries and house sauce","Filete de merlu en masa ligera, servido con papas fritas y salsa de la casa"
Ceviches,SAUMON,"Saumon frais mariné au citron vert, oignons rouges et coriandre fraîche","Fresh salmon marinated in lime juice, red onions and fresh cilantro","Salmón fresco marinado en limón, cebolla morada y cilantro fresco"
Ceviches,POULPE,"Poulpe tendre mariné au citron vert, oignons rouges et herbes fraîches","Tender octopus marinated in lime juice, red onions and fresh herbs","Pulpo tierno marinado en limón, cebolla morada y hierbas frescas"
Ceviches,CREVETTE,"Crevettes fraîches marinées au citron vert, oignons rouges et coriandre fraîche","Fresh shrimp marinated in lime juice, red onions and cilantro","Camarones frescos marinados en limón, cebolla morada y cilantro"
Ceviches,MIXTE,"Mélange de fruits de mer frais marinés au citron vert, oignons rouges et coriandre fraîche","Mixed fresh seafood marinated in lime juice, red onions and cilantro","Mix de mariscos frescos marinados en limón, cebolla morada y cilantro"
Ceviches,TILAPIA,"Tilapia fraîche marinée au citron vert, oignons rouges, coriandre et huile d’olive","Fresh tilapia marinated in lime juice, red onions, cilantro and olive oil","Tilapia fresca marinada en limón, cebolla morada, cilantro y aceite de oliva"
Fruits de mer,MARISCAL,"Assortiment de fruits de mer servis froids avec citron et sauce maison","Assorted chilled seafood served with lemon and house sauce","Surtido de mariscos servidos fríos con limón y salsa de la casa"
Fruits de mer,MARISCAL SPÉCIAL,"Assortiment premium de fruits de mer incluant crevettes, moules, palourdes, calmars et pétoncles","Premium seafood assortment including shrimp, mussels, clams, squid and scallops","Surtido premium de mariscos con camarones, mejillones, almejas, calamares y ostiones"
Entrées,PALOURDES GRATINÉES,"Palourdes fraîches, vin blanc, beurre et parmesan doré","Fresh clams with white wine, butter and golden parmesan","Almejas frescas con vino blanco, mantequilla y parmesano gratinado"
Entrées,HUÎTRES GRATINÉES,"Huîtres fraîches, vin blanc, beurre et parmesan doré","Fresh oysters with white wine, butter and golden parmesan","Ostras frescas con vino blanco, mantequilla y parmesano gratinado"
Entrées,CREVETTES TEMPURA,"Crevettes en pâte tempura légère et croustillante, servies avec sauce maison","Shrimp in light crispy tempura batter served with house sauce","Camarones en tempura ligera y crujiente con salsa de la casa"
Entrées,CALMARS FRITS,"Calmars croustillants servis avec sauce citronnée","Crispy fried calamari served with lemon sauce","Calamares fritos crujientes con salsa de limón"
Empanadas,CREVETTE & FROMAGE,"Crevettes, fromage à la crème, pâte frite croustillante","Shrimp, cream cheese, crispy fried pastry","Camarón, queso crema, masa frita crujiente"
Empanadas,PÉTONCLES AU FROMAGE,"Pétoncles, fromage à la crème, pâte frite croustillante","Scallops, cream cheese, crispy fried pastry","Ostiones, queso crema, masa frita crujiente"
Empanadas,PACIFIQUE,"Mélange de fruits de mer mijotés aux aromates, pâte dorée et croustillante","Seafood mix simmered with herbs in golden crispy pastry","Mezcla de mariscos guisados con hierbas en masa dorada crujiente"
Empanadas,AU FROMAGE,"Fromage à la crème, pâte frite croustillante","Cream cheese in crispy fried pastry","Queso crema en masa frita crujiente"
Soups,POULET DU PACIFIQUE,"Bouillon mijoté au poulet et fruits de mer, légumes de saison et pommes de terre","Chicken and seafood broth with seasonal vegetables and potatoes","Caldo de pollo y mariscos con verduras de temporada y papas"
Soups,CURANTO,"Soupe traditionnelle chilienne aux fruits de mer","Traditional Chilean seafood soup","Sopa chilena tradicional de mariscos"
Soups,SOUPE PACIFIQUE DU CHEF,"Bouillon traditionnel chilien à base de poisson frais, tomates et herbes aromatiques","Traditional Chilean broth made with fresh fish, tomatoes and herbs","Caldo chileno tradicional con pescado fresco, tomates y hierbas"
Desserts,TARTE AU CITRON,"Tarte au citron maison","Homemade lemon pie","Tarta de limón casera"
Desserts,GÂTEAU TROIS LAITS CLASSIQUE,"Gâteau trois laits traditionnel","Classic tres leches cake","Pastel tres leches clásico"
Boissons,BOISSONS FROIDES,"Boissons froides","Cold beverages","Bebidas frías"
Boissons,BOISSONS GAZEUSES,"Boissons gazeuses","Soft drinks","Bebidas gaseosas"
Boissons,JUS,"Jus variés","Assorted juices","Jugos variados"
Boissons,EAU,"Eau minérale","Mineral water","Agua mineral"
Menu du jour,MARDI - POISSON FRIT,"Poisson frit accompagné d’un choix d’accompagnement, salade fraîche et breuvage","Fried fish served with side choice, fresh salad and beverage","Pescado frito con acompañamiento, ensalada fresca y bebida"
Menu du jour,MERCREDI - GRATIN DE CRABE,"Gratin de crabe accompagné d’un breuvage","Crab gratin served with beverage","Gratinado de cangrejo con bebida"
Menu du jour,JEUDI - TILAPIA AU BEURRE,"Tilapia au beurre accompagnée d’un choix d’accompagnement, salade fraîche et breuvage","Butter tilapia served with side choice, fresh salad and beverage","Tilapia a la mantequilla con acompañamiento, ensalada fresca y bebida"
Menu du jour,VENDREDI - MIX SUSHI 24,"Mix sushi 24 morceaux accompagné d’un breuvage","24-piece sushi mix served with beverage","Mix sushi 24 piezas con bebida"
